채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
42929793,UI/UX 기획 및 퍼블리셔 경력직 채용,기타,,경력,대졸(4년제) 이상,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,,"서울 성동구, 서울전체",11,Ym5SbGZaSWwrZGJFVEtRL29VL2h6dz09
42932178,[에듀테크 스타트업 오누이/설탭] 대규모 개발자 채용,기타,,경력,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),"서울 마포구, 강남구, 구로구, 양천구, 영등포구",20,RHYrYmdXSzhITkhjaXdCN3gxalZhZz09
42931329,CODEF 2022년 각 부문 경력 채용,기타,,신입·경력 1년 ↑,학력무관,정규직,,"전공:컴퓨터/시스템공학,활동/경험:해당직무 근무경험",면접 후 결정,,주 5일(월~금),(04542) 서울 중구 청계천로 100 시그니쳐타워(수표동) 서울 2호선 을지로3가역에서 300m 이내,16,WmRwRmw3Q0pQdW1qSEQxbWNmWmhudz09
42932158,[에듀테크 스타트업 오누이/설탭] 웹/앱 서비스 리드 개발자 채용,"모바일,웹",,경력,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),서울 마포구,20,RHYrYmdXSzhITkhjaXdCN3gxalZhZz09
42955738,[㈜대교CNS] SW엔지니어 신입 및 경력직 채용,기타,,신입·경력,"대졸(2,3년제) 이상(예정자 가능)",정규직,,"전공:컴퓨터/시스템공학, 공학계열,보유역량:국가유공자, 보훈대상자,활동/경험:해당직무 근무경험, 석사학위 수여자",면접 후 결정,면접 후 결정,주 5일(월~금),"서울 관악구, 서울전체",11,NGJzdXBtTkhWQkRwbE5SKzY5dTRRQT09
42972834,Web3 AR 메타버스 iOS/안드로이드앱 개발자/웹개발자 모집,"모바일,웹",ios,신입·경력,학력무관,정규직,,,"연봉 6,000 만원",,주 5일(월~금),"서울 성동구, 서울전체, 강남구, 강동구, 광진구, 동대문구, 성북구, 송파구, 용산구, 중랑구",11,aEZvYzhnY3ArRkpJZVg2c3JkRHRWZz09
42973351,"반려견 관련 신규 앱 개발 프론트엔드, 백엔드 모집","백엔드,프론트엔드,모바일",,경력 3년 ↑,학력무관,정규직,,,면접 후 결정,,,(13929) 경기 안양시 동안구 동편로20번길 9 스마트넷빌딩 3층 이지팜(관양동) 서울 4호선 인덕원역에서 800m 이내,상시 채용,c0tZK3NrcVdBNSs4YUx4UXNvVkgvQT09
42973459,[종근당 계열사] WEBㆍAPP 기획/JAVA개발자 및 APP/WEB 디자이너,백엔드,java,경력,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),"서울 서대문구, 서울전체, 마포구, 종로구",7,VVJNaXVCcE5WSHcwNWg3Y3BIdE1EQT09
43018950,(주)느루 백엔드/프론트엔드 개발자 모집 (경력무관),"백엔드,프론트엔드",,신입·경력 2년 ↑,학력무관(예정자 가능),정규직,,"전공:공학계열,근무조건:인근거주자,활동/경험:해당직무 근무경험",면접 후 결정,,주 5일(월~금),(27738) 충북 음성군 맹동면 동성리 477 2층 201호(충북혁신도시),상시 채용,ZDBnWTJJbi85TWJYOXI5aVJUUm02Zz09
42750133,REACT/PHP/PYTHON/퍼블리셔/소프트웨어 품질 엔지니어(QA),"백엔드,프론트엔드","php,react",경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,주 5일(월~금) 10:00~19:00,(07255) 서울 영등포구 선유로 130(양평동3가) 서울 2호선 영등포구청역에서 500m 이내,20,MUZqSFJ5cmVSa2FSM2trdFFrTFEzdz09
43018008,[셀바스AI] 각 부문 Web 개발자 경력 채용,웹,,경력 3~10년,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,주 5일(월~금),(153-803) 서울 금천구 가산동 670-2 대륭테크노타운18차 서울 1호선 독산역에서 500m 이내,21,bkxmOGhZZDUxamRZeWVSUWZlZUlXdz09
42963498,[모바일게임개발회사]프론트엔드/백엔드/풀스택(과장-차장급),"백엔드,프론트엔드,풀스택,모바일",,경력 7년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,"과장, 차장, 대리",,서울 강서구,12,TmtYK0N4UzZqODRLY09HYUpnVDAwdz09
43017202,2022년 상반기 연구개발직군 신입사원 채용,기타,,신입,"대졸(2,3년제) 이상",정규직,,"전공:컴퓨터/시스템공학, 공학계열,외국어:TOEIC 600급(점) 이상,보유역량:고용촉진장려금 대상, 특성화고/마이스터고",면접 후 결정,주임연구원 / 팀원,09:30~18:30,"(07345) 서울 영등포구 63로 40 라이프오피스텔, 3층(여의도동) 서울 1호선 노량진역에서 800m 이내",30,amM0ZmppSjYwWWRVNU4xeWhTK1BTQT09
42837608,JAVA 웹 초급 개발자 모십니다.,백엔드,java,신입·경력 1년 ↑,"대졸(2,3년제) 이상",정규직,자격증:정보처리기사,전공:컴퓨터/시스템공학,면접 후 결정,,주 5일(월~금) 09:00~18:00,(03117) 서울 종로구 청계천로 383 숭인빌딩 703호(숭인동) 서울 1호선 동묘앞역에서 500m 이내,7,ekxMaHFjdGs0bXRiTW5yY0xDQzhVUT09
42928874,[라바웨이브] 개발자(R&D) 모집,기타,,무관(신입포함),"대졸(2,3년제) 이상(예정자 가능)",정규직,,전공:컴퓨터/시스템공학,면접 후 결정,면접 후 결정,09:00~18:00,(06376) 서울 강남구 헌릉로571길 32,18,R1lUMUd0SVhNUkpIR2dEekR4UTU4QT09
42939200,(주)노랑풍선 전사 IT 부문 경력직 채용,기타,,경력 1년 ↑,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,부문별 상이,주 5일(월~금),(100-032) 서울 중구 저동2가 64 노랑풍선 빌딩 서울 2호선 을지로3가역에서 300m 이내,11,NXVycDRtRWNSRlFvVVZoc1dQTWQwQT09
42977494,[신입] ASP.NET JAVA 개발 및 유지보수,백엔드,"java,asp",신입,학력무관,정규직,,"자격증:정보처리기사, 정보처리산업기사",면접 후 결정,"연구원, 사원 / 팀원",주 5일(월~금) 09:00~06:00,(21990) 인천 연수구 송도미래로 30 송도 BRC 스마트밸리 지식산업센터,25,YVFNak9RMXRmRXFLeE5vdFovRGZEUT09
42918696,유명 주식투자 컨설팅 기업  PHP 웹개발 정규직 채용(강남),백엔드,php,경력 5~15년,대졸(4년제) 이상,정규직,,,"연봉 7,500 만원 (주 40시간)","대리, 주임, 과장",주 5일(월~금) 08:30~17:30,(06524) 서울 서초구 강남대로107길 21(잠원동) 서울 3호선 신사역에서 300m 이내,17,SjB6cm1IMkpaY2tLNFgwakdDMEczdz09
42851126,IT Web 서비스 개발자(풀스택/프론트엔드/백엔드) 채용,"백엔드,프론트엔드,풀스택",,경력 3년 ↑,학력무관(예정자 가능),정규직,,"전공:공학계열,활동/경험:해당직무 인턴경력, 해당직무 근무경험,자격/능력:컴퓨터활용능력 우수",면접 후 결정,,주 5일(월~금) 09:00~18:00,"(06028) 서울 강남구 압구정로4길 13-7, 201호(신사동) 서울 3호선 신사역에서 800m 이내",39,TWg1cXpCdlVQTjFmZkRMTHhPWE9qZz09
43015573,한류뱅크(주) 개발직 경력 채용,기타,,경력 3년 ↑,학력무관,정규직,,,면접 후 결정,"대리, 과장, 차장",09:30~18:30,(07231) 서울 영등포구 여의서로 160(서울마리나 사옥)(여의도동) 서울 2호선 당산역에서 800m 이내,60,TCtFdVd3RnhUeUN2aEw0ZDNVeks0Zz09
43015542,[연구소] 서버(백엔드) 및 프론트 개발 인력 채용,"백엔드,프론트엔드",,무관(신입포함),"대졸(2,3년제) 이상",정규직,,,면접 후 결정,면접 후 결정,주 5일(월~금),(431-060) 경기 안양시 동안구 관양동 906-4 디지털엠파이어 B동 1001호 서울 4호선 인덕원역에서 800m 이내,30,dk9NbnlTMVpxd2l2TE1UK3RKZFY4QT09
42722162,"[콴텍, 금융, AI] 금융 IT 개발자 정규직 모십니다.",기타,,신입·경력 2년 ↑,학력무관(예정자 가능),정규직,,,면접 후 결정,,주 5일(월~금),"(07320) 서울 영등포구 여의대로 14, 14층(여의도동, KT여의도타워)(여의도동) 서울 5호선 여의도역에서 500m 이내",24,Z2VpN0YzR1hUNEljM29yZFp6UkdnQT09
42806972,"웹프로그래머(JAVA, JSP) 모집",백엔드,"java,jsp",경력 4년 ↑,"대졸(2,3년제) 이상",정규직,,전공:컴퓨터/시스템공학,면접 후 결정,"주임, 대리 / 팀원",주 5일(월~금),(137-070) 서울 서초구 서초동 1490-25 일흥빌딩 3층 서울 2호선 방배역에서 800m 이내,2,VzlJeG5FUS80NEMzSnAyUHQ5ZmZ0UT09
43012993,경력 개발자 선생님 잠시 이리로 ..,기타,,경력 3년 ↑,학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(06141) 서울 강남구 테헤란로29길 10 정안빌딩 7층 (역삼동) 서울 2호선 역삼역에서 300m 이내,29,dHhWMllXSEdmcXNJVkZCekJuTEprQT09
43012754,저 기획자인데 신입 개발자님 잠시 이리로 ..,기타,,신입,학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(06141) 서울 강남구 테헤란로29길 10 정안빌딩 7층 (역삼동) 서울 2호선 역삼역에서 300m 이내,채용시 마감,dHhWMllXSEdmcXNJVkZCekJuTEprQT09
43012294,"[(주)3.14] 웹개발(PHP, Laravel, CodeIgniter) 개발자 모집",백엔드,"php,laravel",경력(년수무관),"대졸(2,3년제) 이상",정규직,,전공:컴퓨터/시스템공학,면접 후 결정,"대리, 과장, 사원",09:30~18:30,"(06302) 서울 강남구 논현로24길 29 나무빌딩, 3층(도곡동) 서울 3호선 매봉역에서 800m 이내",29,TmYzSjVqeFlVMk1Eai9hajdFRE9ydz09
42982548,콘텐츠 플랫폼 개발팀원 모집 (프론트엔드/ 백엔드) 개발자 채용,"백엔드,프론트엔드",,무관(신입포함),"대졸(2,3년제) 이상(예정자 가능)",정규직,,"전공:공학계열,활동/경험:해당직무 근무경험",면접 후 결정,면접 후 결정,,(03187) 서울 종로구 종로 6 광화문우체국 5층 스타트업빌리지(서린동) 서울 5호선 광화문역에서 300m 이내,11,MEZ4bG1BcVZoK1hrMlJRUlBXWTNNQT09
42836508,(주)핀텔 2022년도 연구소(개발직군) 공개채용,기타,,경력 3년 ↑,대졸(4년제) 이상,정규직,,"전공:컴퓨터/시스템공학, 공학계열,활동/경험:해당직무 근무경험",면접 후 결정,,주 5일(월~금) 09:00~18:00,(06729) 서울 서초구 강남대로 279 백향빌딩(서초동) 서울 3호선 양재역에서 500m 이내,37,OW53RmJxbE5ZeTM5ZkRCRklmQldzUT09
43011043,[모이고개발본부] 앱개발(Flutter) 개발자 모집,모바일,,무관(신입포함),학력무관(예정자 가능),"정규직, 병역특례",,,면접 후 결정,,유연근무제,"(34104) 대전 유성구 유성대로 1184번길 5-11, 3층(장동)",상시 채용,VFBNSkFGVXRBc0k2aTB1b3p5OWUyZz09
43009563,웹 프론트엔드 및 코어  개발 경력사원 모집,프론트엔드,,경력 2년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,,(05831) 서울 송파구 동남로 100(가락동) 서울 8호선 문정역에서 500m 이내,29,SmhpMGx5UEtqc1J4MWFlM3JIbGMwUT09
42625687,IT개발·데이터(백엔드/프론트엔드 개발자) 채용,"백엔드,프론트엔드",,무관(신입포함),학력무관,정규직,,,면접 후 결정,"사원, 대리 / 팀원",09:00~18:00,"(47247) 부산 부산진구 동천로108번길 32, 4층 (주)고비트윈 부산 1호선 서면역에서 500m 이내",채용시 마감,TDFadFZLNGNPakhaNThFMCsydkRqdz09
42801416,[재택근무] 안드로이드 아이폰 모바일 APP/WEB 개발자 모집,"모바일,웹",,경력 3년 ↑,학력무관,"계약직, 프리랜서",,,면접 후 결정,,,(14067) 경기 안양시 동안구 시민대로 230 서울 4호선 범계역에서 800m 이내,3,
43002464,[유명인터넷방송기업] 백엔드/ 개발자/ 데이터분석 경력자 채용,백엔드,,경력(년수무관),학력무관,정규직,,"전공:공학계열,활동/경험:해당직무 근무경험",면접 후 결정,"팀장, 팀원, 파트장",,(06108) 서울 강남구 언주로 609 팍스타워(논현동) 서울 9호선 언주역에서 500m 이내,14,N1RwdnBkdTVSZGpReHJnNlV3eUlwUT09
42972702,풀스택 웹/앱 개발자 채용,"풀스택,모바일",,경력 1~3년,학력무관,"정규직, 계약직",,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),(13647) 경기 성남시 수정구 위례서로 24 행복빌딩 203호(창곡동) 서울 8호선 복정역에서 1km 이내,23,
42988104,상암동 위치 미디어컨텐츠기업  프론트엔드개발 대리-과장급,프론트엔드,,경력 3~8년,대졸(4년제) 이상,정규직,,,"연봉 5,000 만원 (주 40시간)","대리, 과장",주 5일(월~금),(03925) 서울 마포구 월드컵북로 402 케이지아이티센터(상암동) 경의중앙선 수색역에서 800m 이내,채용시 마감,Zkc5dWtSYXhYSURDVTd0c0tEMStVQT09
42988090,상암동 위치 미디어컨텐츠기업  웹개발 대리-과장급,웹,,경력 3~8년,대졸(4년제) 이상,정규직,,"근무조건:인근거주자,활동/경험:해당직무 근무경험","연봉 6,000 만원 (주 40시간)","대리, 과장",09:00~18:00,(03925) 서울 마포구 월드컵북로 402 케이지아이티센터(상암동) 경의중앙선 수색역에서 800m 이내,채용시 마감,Zkc5dWtSYXhYSURDVTd0c0tEMStVQT09
42938567,"스타트기업 로봇용 앱개발(Android,iOS) 대리,과장,차장초급 구",모바일,"ios,android",경력 3~15년,대졸(4년제) 이상,정규직,,,면접 후 결정,,,(06120) 서울 강남구 봉은사로 121 서울 9호선 신논현역에서 200m 이내,15,QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09
42977378,"데이터센터 서버개발(JAVA) 대리,과장급(굿커리어)",백엔드,java,경력 3년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,,,(06120) 서울 강남구 봉은사로 121 서울 9호선 신논현역에서 200m 이내,22,QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09
42804394,[TDI Ads] 백엔드/프론트엔드 개발자 정규직 채용,"백엔드,프론트엔드",,경력(년수무관),학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 09:30~18:30,"(06631) 서울 서초구 서초대로64길 8, 4층(서초동) 서울 2호선 교대역에서 800m 이내",채용시 마감,TU9aZU1YbU9uNmJnM3BJSUVwN1B3QT09
42715815,프론트엔드&백엔드 개발자님 모집합니다,"백엔드,프론트엔드",,신입·경력 3년 ↑,학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 10:00~06:30,"(06040) 서울 강남구 논현로145길 40-8 , 402호(논현동) 서울 3호선 신사역에서 500m 이내",23,NFBidFUrZFkzNU5GOWRMOTJ1T1Jpdz09
42731309,럭셔리앤올과 함께 성장해나갈 개발자를 찾습니다.,기타,,무관(신입포함),학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금) 09:00~18:00,"(06223) 서울 강남구 역삼로25길 37, 4층 (근도빌딩)(역삼동) 서울 2호선 역삼역에서 500m 이내",24,a2w1SHlvdVZZb0NDK2YwRHJPdExtUT09
42978895,"typescript, nodejs, graphQL, MySQL 개발자 모집",기타,mysql,무관(신입포함),학력무관(예정자 가능),정규직,,,면접 후 결정,팀원,09:30~18:30,(06526) 서울 서초구 강남대로99길 23-8(잠원동) 서울 3호선 신사역에서 300m 이내,25,eE41aHBPNVorSlE5U1d3WjM2VENwdz09
42934735,"백엔드 엔지니어, 프론트 엔지니어, NLP 엔지니어, Data Analyst","백엔드,프론트엔드",,경력 3년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,"차장, 사원, 과장",,(06159) 서울 강남구 테헤란로 431 라이언타워(삼성동) 수인분당선 선릉역에서 800m 이내,18,Z2V0blVTTlYvYWt4Uk1kMWdrQlhUdz09
42946871,[더존비즈온 플랫폼사업부문]웹개발/모바일개발 채용공고,"모바일,웹",,무관(신입포함),학력무관(예정자 가능),정규직,,,면접 후 결정,"연구원, 주임연구원, 선임연구원",09:00~18:00,(24465) 강원 춘천시 버들1길 130,5,bmJNSnpSYmdjUCs3bGoyQ1ZSNUZYdz09
42972946,"IT개발·데이터(앱개발, 웹개발 외 3개 부문) 채용 공고","모바일,웹",,무관(신입포함),학력무관,정규직,,,면접 후 결정,,09:00~06:00,(06739) 서울 서초구 논현로 175 신한빌딩 4층 서울 3호선 매봉역에서 800m 이내,23,S2FOVC9oVzNqdUxmZU45OU8rQVR2Zz09
42969601,글로벌 OTT 기업 - SENIOR Software Engineer (Backend),백엔드,,경력 8년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,과장,주 5일(월~금),(135-010) 서울 강남구 논현동 84번지 송암빌딩 5층 서울 7호선 학동역에서 500m 이내,23,c3BHeWp2VHdVUzF3UkpncG5QZS91UT09
42717232,[빌리앤코/프로덕트팀] 백엔드 개발자,백엔드,,경력 4~7년,학력무관(예정자 가능),정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,"(06159) 서울 강남구 테헤란로77길 11-10, 9층 수인분당선 선릉역에서 500m 이내",23,
42785989,[백엔드/프론트엔드] 개발자 모집 공고,"백엔드,프론트엔드",,경력 1년 ↑,학력무관(예정자 가능),"정규직, 계약직",,,면접 후 결정,,주 5일(월~금) 10:00~19:00,(06135) 서울 강남구 봉은사로34길 7(역삼동) 서울 9호선 언주역에서 300m 이내,1,ZUw5Z0pzOUFzVWxjTWl0Sk1EYk5oUT09
42968704,백엔드 및 프론트엔드 개발자를 모집합니다.,"백엔드,프론트엔드",,무관(신입포함),"대졸(2,3년제) 이상(예정자 가능)",정규직,,,면접 후 결정,"사원, 대리, 과장",09:00~18:00,(06181) 서울 강남구 테헤란로 528 슈페리어타워 서울 2호선 삼성역에서 200m 이내,18,ZURHYm9PN2tzQ25QSnZDbnRUazJndz09
42967862,[국내최대 IT기업] Software Engineer 각부문별 채용,기타,,경력 2년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,,주 5일(월~금),(135-080) 서울 강남구 역삼동 823 서울 2호선 역삼역에서 200m 이내,4,
42918321,[파인원커뮤니케이션즈] 신입 / 경력 개발자 채용 - 서울,기타,,신입·경력 2년 ↑,학력무관,정규직,,,면접 후 결정,,주 5일(월~금),"(08510) 서울 금천구 디지털로9길 99, 스타벨리 812호 서울 1호선 가산디지털단지역에서 200m 이내",47,dHdpd2xVRkdHQTJNSnhmMXhZTFV4dz09
42696765,[외국계 SBI Cosmoney] 웹개발자 모집,웹,,신입·경력(년수무관),대졸(4년제) 이상,정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,"(135-280) 서울 강남구 대치동 945-10, KT&G 대치타워 2층 서울 2호선 삼성역에서 200m 이내",20,bUxsMmszQUh1Mm1yaG91b0xsMlFKUT09
42901342,[모람씨앤티] 솔루션개발팀 웹개발자 신입 사원 모집,웹,,신입,대졸(4년제) 이상(예정자 가능),정규직,,"전공:컴퓨터/시스템공학,자격증:정보처리기사,활동/경험:해당직무 근무경험",면접 후 결정,사원,09:00~18:00,(143-210) 서울 광진구 광장동 248-2 대광빌딩3층 서울 5호선 광나루역에서 200m 이내,채용시 마감,dnBnSGRza3NOVStjMk5TeFZBdisxZz09
42943845,IT 직무 신입/경력 및 팀장 채용,기타,,신입·경력,대졸(4년제) 이상(예정자 가능),정규직,,,면접 후 결정,,주 5일(월~금),(03104) 서울 종로구 종로 325 글라스타워(창신동) 서울 6호선 동묘앞역에서 200m 이내,20,
41744788,[베스텔라랩] 프론트엔드 개발자,프론트엔드,,신입·경력 10년 ↓,"대졸(2,3년제) 이상(예정자 가능)",정규직,,,면접 후 결정,,,"경기전체, 경기 안양시 동안구",9,eW5Ta1JzZUpMNXU0dE5lVnJaZlRPUT09
42959913,"JAVA, 프론트엔드 개발자 경력직 채용","백엔드,프론트엔드",java,경력 3~20년,"대졸(2,3년제) 이상","정규직, 계약직",,,면접 후 결정,"팀원, 매니저, 팀장",주 5일(월~금) 09:00~18:00,(153-769) 서울 금천구 가산동 60-19번지 SJ테크노빌 916호 서울 7호선 가산디지털단지역에서 300m 이내,52,aFVONVExZEQ1dVBLMUg1bGUwS2tUZz09
42558391,핀테크 서비스 개발자 채용,기타,,경력 4~9년,대졸(4년제) 이상,정규직,,"전공:컴퓨터/시스템공학, 공학계열, 수학/통계학",면접 후 결정,"대리, 과장",,"서울 영등포구, 구로구, 금천구, 용산구",9,dGxXY1FVeGhrUmxTVzgwNWZDMEl4QT09
42955944,웹/앱개발 채용,"모바일,웹",,무관(신입포함),학력무관,정규직,,,면접 후 결정,,,"(03137) 서울 종로구 창경궁로 117 하나손해보험빌딩, 5층 서울 1호선 종로5가역에서 500m 이내",상시 채용,dU1PM09hanEwWlQxYXVoVThuS2ZNZz09
42955431,병원 물류/구매/홈페이지 개발 경력사원 채용,기타,,경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,주 5일(월~금) 08:30~17:30,"(03721) 서울 서대문구 성산로 543, 2층(대신동, 국제빌딩) 경의중앙선 신촌역에서 800m 이내",4,Sy90WE9PZ1d4bnVOWWxvYUlvbEl2Zz09
42954995,"[기술연구소] 웹서비스 및 펌웨어, H/W개발 채용(경력&신입)",웹,,신입·경력(년수무관),"대졸(2,3년제) 이상(예정자 가능)",정규직,전   공:공학계열,"근무조건:운전가능자,활동/경험:해당직무 근무경험",면접 후 결정,"연구원, 주임연구원 / 팀원",09:30~18:30,(22004) 인천 연수구 컨벤시아대로 인천스타트업파크 311호(송도동) 인천 1호선 인천대입구역에서 300m 이내,22,
42952960,피디엠테크 C#/.NET 프론트엔드/서버 신입개발자 모집,"프론트엔드,기타",c#,신입,학력무관(예정자 가능),정규직,,,면접 후 결정,사원,주 5일(월~금) 09:00~18:00,(42709) 대구 달서구 달서대로 559 이앤씨이노비즈타워 1108호 대구 2호선 계명대역에서 300m 이내,50,Tk5sWVVsY2hEcy9ESVRCRWU2VmxFQT09
42950782,[이커머스 대기업]전시개발,기타,,경력 3년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,,,서울 강남구,6,UU9Jb0wxTnAralk5aCs1akVLTDI4UT09
42735831,22년 상반기 푸드테크 IT부문 채용,기타,,신입·경력,학력무관,정규직,,,면접 후 결정,,주 5일(월~금),"서울 강남구, 서울전체",4,L1N5WlZ3ODd5NC9FaThiODZDTHBvdz09
42780130,웹 개발자(프론트엔드 풀스택) 모십니다,"프론트엔드,풀스택",,신입·경력 16년 ↓,학력무관(예정자 가능),정규직,,,회사내규에 따름,,,"서울전체, 서울 강남구",9,Y3pKNWJJMTdudzJELzBVUFFESURtQT09
42941950,스타링크 프론트 개발자 모집,프론트엔드,,경력 1년 ↑,대졸(4년제) 이상,정규직,,전공:컴퓨터/시스템공학,면접 후 결정,책임연구원 / 파트장,주 5일(월~금) 10:00~19:00,(06014) 서울 강남구 선릉로152길 17 아시아청담부띠끄 702(청담동) 수인분당선 압구정로데오역에서 500m 이내,21,TGw4LzFMZWc0SDlmQTIzUEVGaDlvZz09
42940637,"SW 개발자 모집(백엔드,프론트엔드,풀스택) - AI, 블록체인","백엔드,프론트엔드,풀스택",,신입·경력(년수무관),학력무관,"정규직, 계약직",,,면접 후 결정,면접 후 결정,,(07325) 서울 영등포구 의사당대로 83 오투타워 wework 6-116 서울 5호선 여의도역에서 200m 이내,상시 채용,
42687094,웹 프론트엔드 개발자 모집,프론트엔드,,무관(신입포함),학력무관,정규직,,"외국어 능력:영어가능자,활동/경험:해당직무 근무경험,기타:웹 기반 어플 개발 경험",면접 후 결정,,주 5일(월~금) 09:00~18:00,(13438) 경기 성남시 중원구 양현로405번길 12 티엘아이빌딩 3층 수인분당선 야탑역에서 800m 이내,채용시 마감,cXo2QUdoZ3o1U1RkWnFZd2prQXVCQT09
42792092,2022년 각 분야 신입/경력 채용,기타,,무관(신입포함),학력무관,정규직,,,면접 후 결정,,09:00~18:00,"(06226) 서울 강남구 언주로71길 17, 5층(역삼동) 서울 2호선 역삼역에서 800m 이내",2,cyt6Q2NnMVFqb0V3N3U0VTJpNi90dz09
42937643,"[성남] 프론트엔드(앱/웹), 백엔드/서버 개발","백엔드,프론트엔드,모바일",,경력 1년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,,경기 성남시 중원구,20,
42923525,시니어 풀스택 개발자,풀스택,,경력 8~20년,학력무관,정규직,,,회사내규에 따름,,,"서울전체, 서울 서초구",20,c1EvalVCaVUzWkZ1bEJ6SlV4dWF1QT09
42691537,프레시코드 React Native 앱개발자 모집(3년이상),"프론트엔드,모바일","react,react native",경력 3년 ↑,학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 09:30~18:30,(04768) 서울 성동구 왕십리로 115(성수동1가) 서울 2호선 뚝섬역에서 300m 이내,19,Vy9DMGRMOVNFaWdqYWprSDFCTEYyZz09
42934670,[KT그룹-업계 1위 (주)나스미디어] 웹개발 경력 채용,웹,,경력 2~10년,대졸(4년제) 이상,정규직,,,면접 후 결정,,주 5일(월~금),"(135-080) 서울 강남구 역삼동 837-26 삼일프라자 4,5층 서울 3호선 양재역에서 800m 이내",20,TzhHdUY3bVFMODRTRTRyWVBSWmR2dz09
42933446,"[무신사/운영]앱개발,앱솔루션관련/품위유지비,자기계발비등",모바일,,무관(신입포함),고교졸업 이상,"계약직, 파견직",,,면접 후 결정,사원 / 팀원,주 5일(월~금) 09:00~18:00,(04779) 서울 성동구 아차산로 38 개풍빌딩(성수동1가) 서울 2호선 뚝섬역에서 200m 이내,18,L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09
42933397,"[무신사/개발팀]유지보수,CSS,HTML/자율출퇴근,경력쌓기",기타,,무관(신입포함),고교졸업 이상,"계약직, 파견직",,,면접 후 결정,사원 / 팀원,주 5일(월~금) 09:00~18:00,(04779) 서울 성동구 아차산로 38 개풍빌딩(성수동1가) 서울 2호선 뚝섬역에서 200m 이내,18,L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09
42187719,iOS Developer,모바일,ios,경력 3~15년,학력무관,정규직,,,회사내규에 따름,,,"서울전체, 서울 강남구",20,
42730347,"하나투어 개발센터 경력자 모집(프론트,백엔드 등)","백엔드,프론트엔드",,경력(년수무관),학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(04538) 서울 중구 삼일대로 343 대신파이낸스센터 wework(저동1가) 서울 2호선 을지로3가역에서 500m 이내,23,S1pxVkFRUFdsUVA0Rkx5R2ZFYkdxZz09
42761303,의료 서비스 플랫폼 개발자 모집,기타,,신입·경력(년수무관),학력무관,"정규직, 계약직",,,면접 후 결정,,주 5일(월~금) 08:00~17:00,(03173) 서울 종로구 세종대로23길 47 세종빌딩 10층(당주동) 서울 5호선 광화문역에서 300m 이내,채용시 마감,
42908378,국내유망AI기업 프론트엔드 엔지니어 채용,프론트엔드,,경력 5년 ↑,학력무관,정규직,,,면접 후 결정,,,서울 강남구 (재택근무 가능),1,
42767312,웹개발  JAVA 경력자 채용 (3년차 이상),백엔드,java,경력 3~12년,학력무관,"정규직, 계약직, 프리랜서",,,면접 후 결정,"선임연구원, 책임연구원, 과장",주 5일(월~금) 09:00~18:00,(14557) 경기 부천시 춘의동 테크노밸리 서울 7호선 춘의역에서 300m 이내,오늘 마감,Ylh5MmsvWEhGcGRFYTFydW41dlRLZz09
42899811,[줌인터넷] 전직군 대규모 공채,기타,,무관(신입포함),학력무관,정규직,,,면접 후 결정,,10:00~19:00,"(06711) 서울 서초구 반포대로 3, 이스트빌딩 서울 3호선 남부터미널역에서 800m 이내",15,OENXUXlwSWZ0SVZwSXdlU2dyQit1dz09
