채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
43004577,보고싶습니다.  웹 개발자(중급) 모집,웹,,경력(년수무관),학력무관,정규직,,,면접 후 결정,"선임연구원, 책임연구원 / 팀장",주 5일(월~금),(08389) 서울 구로구 디지털로 272 한신아이티타워 1007호(구로동) 서울 2호선 구로디지털단지역에서 800m 이내,59,bkRQK0JFaGVVYVJhQWxUT1pjOTlnZz09
43004534,웹 신입 및 초급 개발자 모집 진심임,웹,,신입·경력(년수무관),학력무관(예정자 가능),정규직,,,면접 후 결정,,주 5일(월~금),(08389) 서울 구로구 디지털로 272 한신아이티타워 1007호(구로동) 서울 2호선 구로디지털단지역에서 800m 이내,59,bkRQK0JFaGVVYVJhQWxUT1pjOTlnZz09
42648991,[경력자] 닷넷/ASP.NET (C# webform/winform)전자간편결제시스템,"백엔드,기타","asp,c#",경력 5~20년,학력무관,정규직,,"외국어 능력:영어가능자, 영어능통자,활동/경험:해당직무 근무경험",면접 후 결정,"과장, 차장, 부장",주 5일(월~금) 09:00~18:00,(08502) 서울 금천구 가산디지털1로 226 에이스하이엔드5차 1602호 서울 1호선 가산디지털단지역에서 500m 이내,상시 채용,M09wMHpZcThlN2ZOTVJNTEpxQno3dz09
43004191,(주) 엔터식스 온라인쇼핑몰 개발팀(PHP) 경력직 채용,백엔드,php,경력 2년 ↑,학력무관,정규직,,,면접 후 결정,팀원,주 5일(월~금) 09:00~18:00,"(05116) 서울 광진구 광나루로56길 85 테크노-마트21, 38층(구의동) 서울 2호선 강변역에서 200m 이내",59,cUNwR0E5NHZsS3NoTVpTQ1Fvb1RjUT09
42985969,PLC 기술영업 담당자 채용(대리/과장급),기타,,경력 3~10년,학력무관,정규직,,,면접 후 결정,"대리, 과장",,(05089) 서울 광진구 강변북로 군자(자양동),9,L2FsYVB2VVRoTHp4NVZ3aVJ5Lytpdz09
43004134,"시스템 개발 및 유지보수 인력 채용(JAVA, JSP, ORACLE)","백엔드,기타","java,jsp,oracle",신입·경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,"전공:컴퓨터/시스템공학,자격증:정보처리기사,기타:전자정부표준프레임워크 Spring, Mybatis, IBATIS, JAVA/JSP/HTML5/CSS3",면접 후 결정,"사원, 대리, 과장",주 5일(월~금) 09:00~18:00,(04313) 서울 용산구 청파로47길 11 한국문헌정보기술(청파동3가) 서울 4호선 숙대입구역에서 300m 이내,11,SlVCQlpDVGs0eDhXbitHVFJrTTNEdz09
42841185,iOS 개발자 (iOS Developer),모바일,ios,경력 5~15년,학력무관,정규직,,,면접 후 결정,,,"서울전체, 서울 영등포구",12,bzh6REVSd2J2T0lISnRaT2Zmbk9kQT09
43004084,"웨어러블의료기기(고분자,바이오센서,신소재) 연구원모집",기타,,무관(신입포함),대졸(4년제) 이상,정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(16229) 경기 수원시 영통구 광교로 147 경기바이오센터 12층 인터로조(이의동) 신분당선 광교역에서 1km 이내,59,bmN2ano2OFljcEg0Mk5RU1JDc1Q5Zz09
43004069,대기업 클라우드(AWS) 서버  시스템 운영자(SE/TA) 모집,기타,,경력 3년 ↑,고교졸업 이상,"정규직, 계약직, 프리랜서",,"전공:공학계열,활동/경험:해당직무 근무경험",면접 후 결정,,,(06235) 서울 강남구 논현로85길 46 메가존빌딩(역삼동) 서울 2호선 역삼역에서 500m 이내,채용시 마감,Nkl1ZmJuWlVTNkhDNmlEQktmT0xZQT09
42961111,[JAVA 유지보수] 공공기관 정보시스템 운영,백엔드,java,경력 4~6년,"대졸(2,3년제) 이상","정규직, 계약직, 프리랜서",,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(03170) 서울 종로구 새문안로5가길 28 광화문 플래티넘 6층(적선동) 서울 3호선 경복궁역에서 200m 이내,9,TEVhTllxU0VFTzR3WU1iZ2tOYjc3dz09
